key,P,D,CPI,CAPE,TRCAPE
190603,9.56,0.3475,8.467928926,19.25945302085411,23.019077336408866
190604,9.43,0.3533,8.467928926,18.876204996115877,22.557115123058143
190605,9.18,0.3592,8.563094215,18.05404446092639,21.573872118633183
190606,9.3,0.365,8.563094215,18.172666376497496,21.71557632675157
190607,9.06,0.3708,8.277679339,18.19520014351374,21.745449504726235
190608,9.73,0.3767,8.467928926,18.9672514775493,22.66560945231646
190609,10.03,0.3825,8.563094215,19.20099368200136,22.94287642232474
190610,9.73,0.3883,8.753424793,18.095380908869103,21.62396308597395
190611,9.93,0.3942,8.848509091,18.141851654007965,21.683247782770636
190612,9.84,0.4,8.94367438,17.660003667768663,21.11396362190011
190701,9.56,0.4033,8.848509091,17.218913853705985,20.596389814753078
190702,9.26,0.4067,9.038839669,16.217071288766157,19.409252150981242
190703,8.35,0.41,8.94367438,14.687545255978653,17.597254765750463
190704,8.39,0.4133,8.94367438,14.66970990560274,17.59427766957998
190705,8.1,0.4167,9.134004959,13.790107153424247,16.559343931780724
190706,7.84,0.42,9.229089256,13.144269952673206,15.806056111254946
190707,8.14,0.4233,9.229089256,13.58500735796184,16.35709805076724
190708,7.53,0.4267,9.229089256,12.513471604446611,15.092007281741033
190709,7.45,0.43,9.229089256,12.32856965773663,14.895547932371393
190710,6.64,0.4333,9.324254545,10.831840153050607,13.118926370609234
190711,6.25,0.4367,8.94367438,10.591177559189786,12.863256624926697
190712,6.57,0.44,8.753424793,11.333306235811177,13.798214088041618
190801,6.85,0.4367,8.658259504,11.90296862826698,14.522352358595427
190802,6.6,0.4333,8.563094215,11.554846295144793,14.12921457572451
190803,6.87,0.43,8.563094215,11.984662664464294,14.683723501046028
190804,7.24,0.4267,8.658259504,12.448889158370367,15.277960676657012
190805,7.63,0.4233,8.658259504,13.078451355438336,16.073179553710755
190806,7.64,0.42,8.658259504,13.051684129229988,16.06348249370654
190807,7.92,0.4167,8.753424793,13.345487104834403,16.444418748089593
190808,8.26,0.4133,8.753424793,13.884232895208614,17.12491755251081
190809,8.17,0.41,8.753424793,13.701442268825112,16.91621368985677
190810,8.27,0.4067,8.848509091,13.690810359178707,16.91853241822484
190811,8.83,0.4033,8.94367438,14.43501409125626,17.849788804262825
190812,9.03,0.4,9.038839669,14.58248290896244,18.042310998691583
190901,9.06,0.4033,8.94367438,14.764418456441348,18.27886897506247
190902,8.8,0.4067,9.038839669,14.16715751670136,17.551012942214424
190903,8.92,0.41,9.038839669,14.33605838058621,17.77099922483692
190904,9.32,0.4133,9.229089256,14.645198603086111,18.16114452192187
190905,9.63,0.4167,9.324254545,14.953509786582776,18.54840515207684
190906,9.8,0.42,9.419419835,15.040444676080995,18.65937322726256
190907,9.94,0.4233,9.419419835,15.231503240497679,18.898339079013784
190908,10.18,0.4267,9.514585124,15.417580706254752,19.128911647815677
